species,speciesno,trayplacement,assignedrandomsamples,block,soil,trtno,newno,rep,treatment,feedstock,temperature,plantednumber,harvest live,percentemerged,aspercent,harvesttotalliveanddead,shootdw,shootdwplant,log10 shootdwplant,pH,EC,log10 EC,P,log10 P,Extra comments 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,107,66,bottom,Norfolk,4,23,1,SS-350,SS,350,25,19,76,1.058823639,19,0.064,0.003368421,-2.472573627,6.69,381,2.580924976,44.46821,1.648049648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,90,37,bottom,Norfolk,5,24,1,SG-350,SG,350,25,18,72,1.0131975,19,0.0642,0.003378947,-2.471218573,6.31,155,2.190331698,2.657296,0.424439934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,101,28,bottom,Norfolk,6,25,1,55-350,55,350,25,23,92,1.284039775,23,0.0769,0.003343478,-2.475801496,6.91,360,2.556302501,17.29997,1.23804535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,79,54,bottom,Norfolk,7,26,1,82-350,82,350,25,22,88,1.217054721,23,0.0644,0.0028,-2.552841969,6.27,180,2.255272505,6.362056,0.803597488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,143,71,bottom,Norfolk,8,27,1,PC-500,PC,500,25,24,96,1.369438406,24,0.0854,0.003558333,-2.448753371,5.82,122,2.086359831,2.966026,0.472174954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,102,58,bottom,Norfolk,9,28,1,PL-500,PL,500,25,21,84,1.159279481,21,0.0769,0.003661905,-2.436292955,7.5,684,2.835056102,34.0743,1.532426943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,100,15,bottom,Norfolk,10,29,1,SS-500,SS,500,25,21,84,1.159279481,21,0.0612,0.002914286,-2.535467873,6.41,388,2.588831726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,78,6,bottom,Norfolk,11,30,1,SG-500,SG,500,25,17,68,0.96953211,17,0.0614,0.003611765,-2.44228055,5.95,183,2.26245109,3.984845,0.600411433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,119,18,bottom,Norfolk,12,31,1,55-500,55,500,25,17,68,0.96953211,17,0.0638,0.003752941,-2.425628243,6.96,264,2.421603927,18.688525,1.271575026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabbage,1,104,39,bottom,Norfolk,13,32,1,82-500,82,500,25,21,84,1.159279481,21,0.0719,0.00342381,-2.465490404,6.24,143,2.155336037,7.83611,0.894100524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
